‼,u'\u203c',二重感嘆符,ニジュウカンタンフ
⛲,u'\u26f2',噴水,フンスイ
⛳,u'\u26f3',グリーン,グリーン
⛴,u'\u26f4',フェリー,フェリー
⛵,u'\u26f5',ヨット,ヨット
⛷,u'\u26f7',スキー,スキー
⛸,u'\u26f8',スケート,スケート
⛹,u'\u26f9',球技,キュウギ
⛺,u'\u26fa',テント,テント
⛽,u'\u26fd',ガススタンド,ガススタンド
✂,u'\u2702',キリトリセン,キリトリセン
✅,u'\u2705',チェック,チェック
✅,u'\u2705',チェックマーク,チェックマーク
✈,u'\u2708',飛行,ヒコウ
✈,u'\u2708',飛行機,ヒコウキ
✉,u'\u2709',連絡,レンラク
✉,u'\u2709',手紙,テガミ
✊,u'\u270a',握拳,ニギリコブシ
✊,u'\u270a',グー,グー
✋,u'\u270b',挙手,キョシュ
✋,u'\u270b',パー,パー
✌,u'\u270c',Vサイン,ブイサイン
✌,u'\u270c',チョキ,チョキ
✍,u'\u270d',記述,キジュツ
✍,u'\u270d',書字手,ショジシュ
✏,u'\u270f',記述,キジュツ
✏,u'\u270f',鉛筆,エンピツ
✒,u'\u2712',記述,キジュツ
✒,u'\u2712',ペン先,ペンサキ
✔,u'\u2714',チェック,チェック
✔,u'\u2714',チェックマーク,チェックマーク
✖,u'\u2716',バツ,バツ
✝,u'\u271d',十字架,ジュウジカ
✡,u'\u2721',六芒星,ロクボウセイ
✨,u'\u2728',キラキラ,キラキラ
✳,u'\u2733',星,ホシ
✴,u'\u2734',星,ホシ
❄,u'\u2744',雪の結晶,ユキノケッショウ
❇,u'\u2747',キラキラ,キラキラ
❌,u'\u274c',バツ,バツ
❎,u'\u274e',バツ,バツ
❓,u'\u2753',?,ハテナ
❔,u'\u2754',?,ハテナ
❕,u'\u2755',!,ビックリ
❗,u'\u2757',!,ビックリ
❣,u'\u2763',ハート,ハート
❤,u'\u2764',ハート,ハート
➕,u'\u2795',プラス,プラス
➖,u'\u2796',マイナス,マイナス
➗,u'\u2797',割る,ワル
➡,u'\u27a1',右矢印,ミギヤジルシ
➰,u'\u27b0',ハッピー,ハッピー
➿,u'\u27bf',フリーダイヤル,フリーダイヤル
➿,u'\u27bf',フリーダイヤルマーク,フリーダイヤルマーク
⤴,u'\u2934',上昇カーブ,ジョウショウカーブ
⤵,u'\u2935',下降カープ,カコウカープ
⬅,u'\u2b05',右矢印,ミギヤジルシ
⬆,u'\u2b06',上矢印,ウエヤジルシ
⬇,u'\u2b07',下矢印,シタヤジルシ
⬛,u'\u2b1b',四角形,シカクケイ
⬜,u'\u2b1c',四角形,シカクケイ
⭐,u'\u2b50',星,ホシ
⭕,u'\u2b55',丸,マル
